,0,,1,",",2
685,20.52865791,",",41,",",9.5
686,21,",",41,",",9.489085197
687,21,",",40.94344711,",",9.5
688,21,",",43,",",9.094512939
689,21,",",45,",",8.696858406
690,21,",",47,",",8.291949749
691,21,",",45.97676468,",",8.5
692,21,",",49,",",7.880787373
693,19.64511681,",",51,",",7.5
694,21,",",51,",",7.467621803
695,21,",",50.84425735,",",7.5
696,21,",",53,",",7.046060562
697,21,",",55,",",6.62446785
698,21,",",57,",",6.197836399
699,21,",",55.58559036,",",6.5
700,21,",",59,",",5.770055294
701,21,",",61,",",5.34113121
702,21,",",60.26104355,",",5.5
703,21,",",63,",",4.909795761
704,20.48469162,",",65,",",4.5
705,21,",",65,",",4.480616808
706,21,",",64.90992737,",",4.5
707,21,",",67,",",4.048082113
708,21,",",69,",",3.618850946
709,21,",",71,",",3.188874006
710,21,",",69.5536499,",",3.5
711,21,",",73,",",2.761240482
712,21,",",75,",",2.335686803
713,21,",",74.22842407,",",2.5
714,21,",",77,",",1.911344171
715,20.83886147,",",79,",",1.5
716,21,",",79,",",1.491608322
717,21,",",78.96004486,",",1.5
718,21,",",81,",",1.07202369
719,21,",",83,",",0.65761438
720,21,",",83.76554108,",",0.5
721,23,",",1,",",15.72122192
722,23,",",3,",",15.55267143
723,22.11781311,",",5,",",15.5
724,23,",",5,",",15.25942612
725,23,",",3.400449038,",",15.5
726,23,",",7,",",14.92898464
727,23,",",9,",",14.60323334
728,21.93668747,",",11,",",14.5
729,23,",",11,",",14.27667999
730,23,",",9.670391083,",",14.5
731,23,",",13,",",13.96594906
732,23,",",15,",",13.67469883
733,22.15985107,",",17,",",13.5
734,23,",",17,",",13.39014912
735,23,",",16.25280476,",",13.5
736,23,",",19,",",13.10453892
737,23,",",21,",",12.82259941
738,23,",",23,",",12.53943253
739,23,",",25,",",12.24146175
740,23,",",23.27143478,",",12.5
741,23,",",27,",",11.93599319
742,23,",",29,",",11.62294769
743,23,",",31,",",11.2946806
744,23,",",29.757967,",",11.5
745,23,",",33,",",10.95400333
746,23,",",35,",",10.60517597
747,23,",",37,",",10.24123669
748,23,",",35.58325958,",",10.5
749,23,",",39,",",9.867416382
750,23,",",41,",",9.487050056
751,23,",",40.93253708,",",9.5
752,23,",",43,",",9.091856003
753,23,",",45,",",8.692368507
754,23,",",47,",",8.284434795
755,23,",",45.94652176,",",8.5
756,23,",",49,",",7.869558811
757,23,",",51,",",7.451845646
758,23,",",50.77048111,",",7.5
759,23,",",53,",",7.025482655
760,23,",",55,",",6.59887886
761,23,",",57,",",6.166469097
762,23,",",55.45864105,",",6.5
763,23,",",59,",",5.733337879
764,23,",",61,",",5.29835844
765,23,",",60.07421112,",",5.5
766,23,",",63,",",4.861641407
767,23,",",65,",",4.426389217
768,23,",",64.66228104,",",4.5
769,23,",",67,",",3.988641024
770,23,",",69,",",3.554395914
771,23,",",71,",",3.118596792
772,23,",",69.24990082,",",3.5
773,23,",",73,",",2.686271667
774,23,",",75,",",2.255211949
775,23,",",73.86455536,",",2.5
776,23,",",77,",",1.826554418
777,23,",",79,",",1.401683092
778,23,",",78.53723145,",",1.5
779,23,",",81,",",0.978184879
780,23,",",83,",",0.560093019
781,23,",",83.28855896,",",0.5
782,23.19004822,",",3,",",15.5
783,25,",",1,",",14.9561615
784,23.72626686,",",1,",",15.5
785,25,",",3,",",14.80676746
786,25,",",5,",",14.58488846
787,24.53242302,",",7,",",14.5
788,25,",",7,",",14.32651043
789,25,",",5.703959465,",",14.5
790,23.47464943,",",9,",",14.5
791,25,",",9,",",14.07278156
792,25,",",11,",",13.8395462
793,25,",",13,",",13.62191868
794,24.38792801,",",15,",",13.5
795,25,",",15,",",13.40683937
796,25,",",14.15853882,",",13.5
797,25,",",17,",",13.18712044
798,25,",",19,",",12.96464348
799,25,",",21,",",12.73410416
800,24.6854763,",",23,",",12.5
801,25,",",23,",",12.49157524
802,25,",",22.93224907,",",12.5
803,25,",",25,",",12.22498798
804,25,",",27,",",11.94442272
805,25,",",29,",",11.6494751
806,25,",",31,",",11.33488655
807,25,",",29.95741463,",",11.5
808,25,",",33,",",11.00210094
809,25,",",35,",",10.65744209
810,25,",",37,",",10.29612637
811,25,",",35.87606812,",",10.5
812,25,",",39,",",9.920924187
813,23.51891327,",",41,",",9.5
814,25,",",41,",",9.537759781
815,25,",",43,",",9.138739586
816,25,",",41.19034576,",",9.5
817,25,",",45,",",8.733494759
818,25,",",47,",",8.319863796
819,25,",",46.13124466,",",8.5
820,25,",",49,",",7.897809029
821,25,",",51,",",7.473132133
822,25,",",50.87385178,",",7.5
823,25,",",53,",",7.038978577
824,25,",",55,",",6.604648113
825,25,",",57,",",6.164507389
826,25,",",55.47632599,",",6.5
827,25,",",59,",",5.723722935
828,25,",",61,",",5.281005383
829,25,",",60.01139069,",",5.5
830,25,",",63,",",4.836963654
831,25,",",65,",",4.39419651
832,25,",",64.52235794,",",4.5
833,25,",",67,",",3.949600458
834,25,",",69,",",3.50886035
835,25,",",71,",",3.066114664
